epoch,train_loss,valid_loss,rmse_gap,time
0,-99.0143107915756,-97.7385367936208,0.12706187520271692,21:53
1,-123.03177259688074,-104.18222849249011,0.12046826659486844,22:45
2,-130.90148276863707,-133.16040596075547,0.10407633640063114,24:11
